t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6305,6192,5947,5947
0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2002,0.1086,9.7145,-0.00692,0.0002,-0.0036,0.0,0.0,6305,6192,5947,5947
0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1948,0.0943,9.7737,-0.00393,-0.00246,-0.00013,0.0,0.0,6305,6192,5947,5947
1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1796,0.1194,9.771,-0.0022,-0.0028,0.00499,0.0,0.0,6305,6192,5947,5947
1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1472,0.0997,9.7387,-0.00366,-0.00439,0.00599,0.0,0.0,6305,6192,5947,5947
1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,163.96,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1984,0.0781,9.7423,-0.00486,0.0004,0.00087,0.0,0.0,6305,6192,5947,5947
1.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,163.96,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1589,0.105,9.7163,-0.0032,-0.00087,-0.00146,0.0,0.0,6305,6192,5947,5947
2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,163.96,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1805,0.0575,9.8366,-0.00419,-0.00153,0.00486,0.0,0.0,6305,6192,5947,5947
2.27,0.0001,0.00017,-0.008,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,163.96,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.185,0.0988,9.7342,-0.00206,0.00293,0.00366,0.0,0.0,6305,6192,5947,5947
2.521,0.00015,0.0001,-0.004,0.00018,0.0,15.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1921,0.0736,9.7333,-0.00366,-0.0004,-0.00153,0.0,0.0,6305,6192,5947,5947
2.77,1e-05,3e-05,-0.006,3e-05,0.0,15.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,92,0.2236,0.1212,9.7558,-0.00692,0.0002,0.00393,0.0,0.0,6305,6192,5947,5947
3.02,-0.00014,4e-05,-0.005,0.00014,0.0,15.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,92,0.2415,0.1113,9.7665,-0.00426,-0.00173,0.00593,0.0,0.0,6305,6192,5947,5947
3.27,-0.00014,4e-05,-0.005,0.00014,0.0,15.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,92,0.2155,0.1032,9.7854,-0.0038,-0.00186,0.00373,0.0,0.0,6305,6192,5947,5947
3.52,-0.00014,4e-05,-0.005,0.00014,0.0,15.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,92,0.1921,0.07,9.6992,-0.0034,-0.00439,0.00233,0.0,0.0,6305,6192,5947,5947
3.77,-0.00014,4e-05,-0.005,0.00014,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.02,0.0,0.0,0.0,0.0,0.0,200.15,0.0,0.0,0.0,0.0,0.0,0.0,,,152,0.1948,0.1158,9.7737,-0.00446,0.00286,-0.00153,0.0,0.0,6305,6192,5947,5947
4.02,-0.00014,4e-05,-0.005,0.00014,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.02,0.0,0.0,0.0,0.0,0.0,200.15,0.0,0.0,0.0,0.0,0.0,0.0,,,152,0.2029,0.0341,9.719,-0.0032,0.00213,0.00666,0.0,0.0,6305,6192,5947,5947
4.27,-0.00014,4e-05,-0.005,0.00014,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.02,0.0,0.0,0.0,0.0,0.0,200.15,0.0,0.0,0.0,0.0,0.0,0.0,,,152,0.1903,0.0637,9.7549,-0.0032,0.00027,0.00453,0.0,0.0,6305,6192,5947,5947
4.52,-0.00014,4e-05,-0.005,0.00014,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.02,0.0,0.0,0.0,0.0,0.0,200.15,0.0,0.0,0.0,0.0,0.0,0.0,,,152,0.1894,0.0754,9.7019,-0.00346,0.002,-0.0014,0.0,0.0,6305,6192,5947,5947
4.77,-0.00014,4e-05,-0.005,0.00014,0.0,26.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,144,0.1706,0.1015,9.7612,-0.00253,-0.0014,-0.0016,0.0,0.0,6305,6192,5947,5947
