t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.27,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120,0.3349,-0.0189,9.7288,-0.00186,0.0002,-0.001,0.0,0.0,17816,21360,16820,20290
0.52,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120,0.2756,-0.0359,9.78,-0.00313,-0.001,-0.00027,0.0,0.0,17816,21360,16820,20290
0.77,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120,0.3205,0.0135,9.7324,-0.00206,-0.00393,-0.00266,0.0,0.0,17816,21360,16820,20290
1.02,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120,0.1858,-0.0189,9.7495,-0.0026,0.0006,0.00399,0.0,0.0,17816,21360,16820,20290
1.27,0.0,-0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,199.95,0.0,0.0,0.0,0.0,0.0,0.0,,,119,0.2765,-0.0135,9.7809,-0.00186,-0.0014,0.00533,0.0,0.0,17816,21360,16820,20290
1.52,0.0,-0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,199.95,0.0,0.0,0.0,0.0,0.0,0.0,,,119,0.2711,-0.0027,9.719,-0.00732,-0.00113,0.00393,0.0,0.0,17816,21360,16820,20290
1.77,0.0,-0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,199.95,0.0,0.0,0.0,0.0,0.0,0.0,,,119,0.2864,-0.0144,9.7369,-0.00546,-0.0022,-0.00326,0.0,0.0,17816,21360,16820,20290
2.02,0.0,-0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,199.95,0.0,0.0,0.0,0.0,0.0,0.0,,,119,0.2882,0.0063,9.6884,-0.00053,-0.00273,0.00266,0.0,0.0,17816,21360,16820,20290
2.27,0.0,-0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,199.95,0.0,0.0,0.0,0.0,0.0,0.0,,,118,0.2613,-0.0099,9.7567,-0.00093,-0.0006,0.0018,0.0,0.0,17816,21360,16820,20290
2.52,0.0,-0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,199.2,0.0,0.0,0.0,0.0,0.0,0.0,,,118,0.2747,0.0368,9.7782,-0.00366,0.0026,-0.0004,0.0,0.0,17816,21360,16820,20290
2.77,0.0,-0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,199.2,0.0,0.0,0.0,0.0,0.0,0.0,,,118,0.2738,0.0224,9.7809,-0.00493,-0.00593,7e-05,0.0,0.0,17816,21360,16820,20290
3.02,0.0,-0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,199.2,0.0,0.0,0.0,0.0,0.0,0.0,,,118,0.272,0.0117,9.7648,-0.0034,-0.00027,0.00346,0.0,0.0,17816,21360,16820,20290
3.27,0.0,-0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,199.2,0.0,0.0,0.0,0.0,0.0,0.0,,,118,0.2442,0.0063,9.7127,-0.00506,-0.0006,-0.0016,0.0,0.0,17816,21360,16820,20290
