t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.52,-0.00018,9e-05,-0.004,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2586,0.0997,9.6786,-0.00193,0.00127,-0.00166,0.0,0.0,0,0,0,0
0.77,4e-05,-0.00017,0.008,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,134,0.1832,0.1374,9.7351,-0.00399,0.00107,0.0006,0.0,0.0,-53057,-24409,73825,62353
1.02,-2e-05,-0.00021,0.009,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,134,0.1912,0.2083,9.7621,-0.00246,0.00033,0.00146,0.0,0.0,-53057,-24409,73825,62353
1.27,-0.00034,0.00022,-0.011,0.00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,134,0.2514,0.0817,9.7369,-0.00146,0.00153,0.00173,0.0,0.0,-53057,-24409,73825,62353
1.52,-4e-05,0.00024,-0.009,0.00024,0.0,35.2,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,188.8,0.0,0.0,0.0,0.0,0.0,0.0,,,134,0.2667,0.1032,9.754,-0.00539,-0.00206,0.00439,0.0,0.0,-53057,-24409,73825,62353
1.769,-0.00028,0.00053,-0.021,0.0006,0.0,35.2,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,188.8,0.0,0.0,0.0,0.0,0.0,0.0,,,124,0.2298,0.1248,9.7208,-0.00439,-0.0008,-0.00166,0.0,0.0,-53057,-24409,73825,62353
2.02,5e-05,0.00032,-0.017,0.00033,0.0,35.2,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,188.8,0.0,0.0,0.0,0.0,0.0,0.0,,,124,0.2792,0.1302,9.7522,-0.00499,-7e-05,-7e-05,0.0,0.0,-53057,-24409,73825,62353
2.27,0.00057,4e-05,-0.004,0.00057,0.0,35.2,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,188.8,0.0,0.0,0.0,0.0,0.0,0.0,,,124,0.2325,0.1356,9.719,-0.0032,0.0032,0.00266,0.0,0.0,-53057,-24409,73825,62353
2.52,0.00064,-4e-05,-0.001,0.00064,0.0,35.2,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,188.8,0.0,0.0,0.0,0.0,0.0,0.0,,,124,0.2271,0.1437,9.7001,-0.00426,0.0012,0.00593,0.0,0.0,-53057,-24409,73825,62353
