t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz
0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.531,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.781,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.031,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.282,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.531,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.782,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.031,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.281,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.531,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.782,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,0.0,0.0,192.73,0.0,0.0,0.0,0.0,0.0,0.0
4.031,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,0.0,0.0,192.73,0.0,0.0,0.0,0.0,0.0,0.0
4.282,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,0.0,0.0,192.73,0.0,0.0,0.0,0.0,0.0,0.0
4.531,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,0.0,0.0,192.73,0.0,0.0,0.0,0.0,0.0,0.0
4.782,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,0.0,0.0,192.73,0.0,0.0,0.0,0.0,0.0,0.0
5.031,0.0,0.0,0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.001,0.0,0.0,200.88,0.0,0.0,0.002,0.0,0.0,0.8
5.282,0.0,0.0,0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.007,0.0,0.0,200.88,0.0,0.0,0.01,0.0,0.0,0.8
5.531,0.0,0.0,0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.009,0.0,0.0,200.88,0.0,0.0,0.008,0.0,0.0,0.8
5.782,0.0,0.0,0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.005,0.0,0.0,200.88,0.0,0.0,0.004,0.0,0.0,0.8
6.032,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,18.99,0.0,0.0,-0.004,0.0,0.0,200.94,0.0,0.0,-0.006,0.0,0.0,29.99
6.281,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,18.99,0.0,0.0,-0.004,0.0,0.0,200.94,0.0,0.0,-0.003,0.0,0.0,29.99
6.531,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,18.99,0.0,0.0,-0.004,0.0,0.0,200.94,0.0,0.0,-0.002,0.0,0.0,29.99
6.782,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,18.99,0.0,0.0,-0.012,0.0,0.0,200.94,0.0,0.0,-0.014,0.0,0.0,29.99
7.031,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,18.99,0.0,0.0,-0.009,0.0,0.0,200.94,0.0,0.0,-0.009,0.0,0.0,29.99
7.282,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,-0.02,0.0,0.0,199.18,0.0,0.0,-0.018,0.0,0.0,29.6
7.531,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,-0.032,0.0,0.0,199.18,0.0,0.0,-0.03,0.0,0.0,29.6
7.782,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,-0.031,0.0,0.0,199.18,0.0,0.0,-0.035,0.0,0.0,29.6
8.031,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,-0.041,0.0,0.0,199.18,0.0,0.0,-0.042,0.0,0.0,29.6
8.282,0.0,0.0,0.0,0.0,0.0,28.99,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,-0.034,0.0,0.0,199.97,0.0,0.0,-0.035,0.0,0.0,28.99
8.532,0.0,0.0,0.0,0.0,0.0,28.99,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,-0.047,0.0,0.0,199.97,0.0,0.0,-0.047,0.0,0.0,28.99
8.781,0.0,0.0,0.0,0.0,0.0,28.99,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,-0.044,0.0,0.0,199.97,0.0,0.0,-0.043,0.0,0.0,28.99
9.031,0.0,0.0,0.0,0.0,0.0,28.99,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,-0.05,0.0,0.0,199.97,0.0,0.0,-0.049,0.0,0.0,28.99
9.281,0.0,0.0,0.0,0.0,0.0,28.99,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,-0.065,0.0,0.0,199.97,0.0,0.0,-0.06,0.0,0.0,28.99
9.531,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,19.21,0.0,0.0,-0.065,0.0,0.0,201.71,0.0,0.0,-0.065,0.0,0.0,30.42
9.782,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,19.21,0.0,0.0,-0.072,0.0,0.0,201.71,0.0,0.0,-0.076,0.0,0.0,30.42
10.031,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,19.21,0.0,0.0,-0.057,0.0,0.0,201.71,0.0,0.0,-0.057,0.0,0.0,30.42
10.281,0.00013,-0.00019,0.002,0.00023,0.0,30.42,0.0,0.0,0.0,0.0,0.0,19.21,0.0,0.0,-0.05,0.0,0.0,201.71,0.00013,-0.00019,-0.059,0.00023,0.0,30.42
