t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz
0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0
0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0
1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0
1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0
1.541,0.0,0.0,0.0,0.0,0.0,30.39,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.107,0.0,0.0,199.96
1.79,0.0,0.0,0.0,0.0,0.0,30.39,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.139,0.0,0.0,199.96
2.04,0.0,0.0,0.0,0.0,0.0,30.39,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.157,0.0,0.0,199.96
2.291,0.0,0.0,0.0,0.0,0.0,30.39,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.158,0.0,0.0,199.96
2.54,0.0,0.0,0.0,0.0,0.0,30.39,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.179,0.0,0.0,199.96
2.79,0.0,0.0,0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.202,0.0,0.0,200.85
3.04,0.0,0.0,0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.224,0.0,0.0,200.85
3.29,0.0,0.0,0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.248,0.0,0.0,200.85
