t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz
0.6,-0.00017,-0.00011,0.002,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,-0.00012,2e-05,-0.001,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,-0.00018,-6e-05,0.003,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.351,-0.00018,-6e-05,0.003,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.601,-0.00018,-6e-05,0.003,0.00018,0.0,26.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.96,0.0,0.0,0.0,0.0,0.0,0.0
1.851,-0.00018,-6e-05,0.003,0.00018,0.0,26.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.96,0.0,0.0,0.0,0.0,0.0,0.0
2.1,-0.00018,-6e-05,0.003,0.00018,0.0,26.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.96,0.0,0.0,0.0,0.0,0.0,0.0
2.35,-0.00018,-6e-05,0.003,0.00018,0.0,26.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.96,0.0,0.0,0.0,0.0,0.0,0.0
2.602,-0.00018,-6e-05,0.003,0.00018,0.0,23.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.82,0.0,0.0,0.0,0.0,0.0,0.0
2.851,-0.00018,-6e-05,0.003,0.00018,0.0,23.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.82,0.0,0.0,0.0,0.0,0.0,0.0
3.101,-0.00018,-6e-05,0.003,0.00018,0.0,23.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.82,0.0,0.0,0.0,0.0,0.0,0.0
3.351,-0.00018,-6e-05,0.003,0.00018,0.0,23.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.82,0.0,0.0,0.0,0.0,0.0,0.0
3.602,-5e-05,-0.00019,0.013,0.0002,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.98,0.0,0.0,0.0,0.0,0.0,0.0
3.851,-7e-05,-0.00024,0.016,0.00025,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.98,0.0,0.0,0.0,0.0,0.0,0.0
4.103,9e-05,-0.00058,0.034,0.00058,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.98,0.0,0.0,0.0,0.0,0.0,0.0
4.351,0.00016,-0.00071,0.04,0.00073,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.98,0.0,0.0,0.0,0.0,0.0,0.0
4.601,5e-05,-0.00047,0.026,0.00047,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.98,0.0,0.0,0.0,0.0,0.0,0.0
