t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.27,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.325,0.0745,9.7414,-0.00093,-0.00107,0.0014,0.0,0.0,8803,13114,15784,19180
0.521,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,158,0.2209,0.0548,9.763,-0.00806,0.00093,0.0032,0.0,0.0,8803,13114,15784,19180
0.77,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,158,0.36,0.0682,9.7827,-0.0008,0.00073,0.0024,0.0,0.0,8803,13114,15784,19180
1.02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,158,0.3537,0.105,9.7324,-0.00646,0.00033,0.00286,0.0,0.0,8803,13114,15784,19180
1.27,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,158,0.343,0.1032,9.7432,-0.00286,-0.00093,0.00326,0.0,0.0,8803,13114,15784,19180
1.52,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,156,0.2658,0.0646,9.7719,-0.00286,-0.00013,0.00113,0.0,0.0,8803,13114,15784,19180
1.77,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,156,0.4085,0.1392,9.7594,-0.00127,-0.002,0.00073,0.0,0.0,8803,13114,15784,19180
2.021,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,156,0.3232,-0.0144,9.745,-0.00479,-0.00193,0.0018,0.0,0.0,8803,13114,15784,19180
2.27,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,156,0.3502,0.0512,9.7261,-0.00646,-0.00013,0.00593,0.0,0.0,8803,13114,15784,19180
2.52,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,155,0.3349,0.0566,9.7342,-0.00459,-0.00166,-0.00027,0.0,0.0,8803,13114,15784,19180
2.77,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,155,0.3636,0.0682,9.7531,-0.00193,0.00253,0.0028,0.0,0.0,8803,13114,15784,19180
3.02,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,155,0.2577,0.0619,9.7459,-0.00433,0.0004,-0.00067,0.0,0.0,8803,13114,15784,19180
3.27,0.0,0.0,-0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,155,0.2864,0.1032,9.7791,-0.00553,-0.003,0.00186,0.0,0.0,8803,13114,15784,19180
3.521,0.0,0.0,-0.0,0.0,0.0,30.38,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,201.5,0.0,0.0,0.0,0.0,0.0,0.0,,,153,0.3062,0.0494,9.7432,-0.00127,-0.001,0.00253,0.0,0.0,8803,13114,15784,19180
3.77,0.0,0.0,-0.0,0.0,0.0,30.38,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,201.5,0.0,0.0,0.0,0.0,0.0,0.0,,,153,0.3798,0.1185,9.7387,-0.0026,-0.0002,0.00306,0.0,0.0,8803,13114,15784,19180
4.021,0.0,0.0,-0.0,0.0,0.0,30.38,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,201.5,0.0,0.0,0.0,0.0,0.0,0.0,,,153,0.3995,0.0844,9.7549,-0.0002,-0.00067,-0.00386,0.0,0.0,8803,13114,15784,19180
4.27,0.0,0.0,-0.0,0.0,0.0,30.38,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,201.5,0.0,0.0,0.0,0.0,0.0,0.0,,,153,0.3241,-0.0045,9.763,-0.0014,-0.00067,0.00033,0.0,0.0,8803,13114,15784,19180
4.52,0.0,0.0,-0.0,0.0,0.0,30.38,0.0,0.0,0.0,0.0,0.0,20.79,0.0,0.0,0.0,0.0,0.0,201.5,0.0,0.0,0.0,0.0,0.0,0.0,,,152,0.3744,0.0655,9.7531,-0.00706,-0.00047,0.00107,0.0,0.0,8803,13114,15784,19180
4.77,0.0,0.0,-0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,199.3,0.0,0.0,0.0,0.0,0.0,0.0,,,152,0.3546,0.0296,9.7594,-0.00226,-0.00439,-0.00426,0.0,0.0,8803,13114,15784,19180
5.02,0.0,0.0,-0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.001,0.0,0.0,199.3,0.0,0.0,0.0,0.0,0.0,0.0,0.141,-2.012,152,0.2711,0.0458,9.6777,-0.00399,7e-05,0.00286,0.0,0.0,8803,13114,15784,19180
5.27,0.0,0.0,-0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.006,0.0,0.0,199.3,0.0,0.0,-0.002,0.0,0.0,0.0,0.219,-1.957,152,0.369,0.035,9.6848,0.0008,-0.00399,0.00073,0.0,0.0,8803,13114,15784,19180
5.52,0.0,0.0,-0.0,0.0,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.008,0.0,0.0,199.3,0.0,0.0,0.003,0.0,0.0,0.0,0.302,-1.913,151,0.3044,0.0898,9.7576,-0.00293,0.00047,0.00226,0.0,0.0,8803,13114,15784,19180
5.77,0.0,0.0,-0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.01,0.0,0.0,199.99,0.0,0.0,0.009,0.0,0.0,21.0,0.296,-1.958,151,0.3484,0.035,9.7504,-0.0006,-0.0024,0.00366,0.0,0.0,8803,13114,15784,19180
6.02,0.0,0.0,-0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.005,0.0,0.0,199.99,0.0,0.0,-0.005,0.0,0.0,21.0,0.272,-1.916,151,0.2693,0.0682,9.7881,-0.00599,-0.0018,-0.00146,0.0,0.0,8803,13114,15784,19180
6.27,1e-05,0.0,-0.0,1e-05,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.008,0.0,0.0,199.99,0.0,0.0,0.01,0.0,0.0,21.0,0.302,-1.836,151,0.316,0.0503,9.7603,0.00206,-0.0004,-0.00293,0.0,0.0,8803,13114,15784,19180
6.52,1e-05,0.0,-0.0,1e-05,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.022,0.0,0.0,199.99,0.0,0.0,0.021,0.0,0.0,21.0,0.314,-1.982,148,0.2469,0.0907,9.7208,-0.00067,-0.00366,-0.00266,0.0,0.0,8803,13114,15784,19180
6.77,1e-05,0.0,-0.0,1e-05,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.02,0.0,0.0,199.99,0.0,0.0,0.021,0.0,0.0,21.0,0.293,-2.03,148,0.3376,0.0637,9.7154,-0.00186,0.0002,-0.0008,0.0,0.0,8803,13114,15784,19180
7.02,1e-05,0.0,-0.0,1e-05,0.0,30.41,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.019,0.0,0.0,201.64,0.0,0.0,0.018,0.0,0.0,30.41,0.332,-1.928,148,0.351,0.044,9.6696,0.00013,-0.001,-0.00306,0.0,0.0,8803,13114,15784,19180
7.27,1e-05,0.0,-0.0,1e-05,0.0,30.41,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.037,0.0,0.0,201.64,0.0,0.0,0.037,0.0,0.0,30.41,0.266,-1.939,148,0.29,0.0916,9.7136,-0.00533,-0.00206,-0.00113,0.0,0.0,8803,13114,15784,19180
7.52,1e-05,0.0,-0.0,1e-05,0.0,30.41,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.037,0.0,0.0,201.64,0.0,0.0,0.035,0.0,0.0,30.41,0.291,-1.891,146,0.3331,-0.0135,9.7585,-0.00699,0.002,0.00633,0.0,0.0,8803,13114,15784,19180
7.77,1e-05,0.0,-0.0,1e-05,0.0,30.41,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.028,0.0,0.0,201.64,0.0,0.0,0.026,0.0,0.0,30.41,0.271,-1.922,146,0.2613,0.1024,9.7235,-0.003,0.0,0.00127,0.0,0.0,8803,13114,15784,19180
8.021,1e-05,0.0,-0.0,1e-05,0.0,28.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.036,0.0,0.0,200.8,0.0,0.0,0.034,0.0,0.0,28.97,0.305,-1.893,146,0.3627,0.0359,9.7468,-0.00386,-0.0002,0.00253,0.0,0.0,8803,13114,15784,19180
8.27,1e-05,0.0,-0.0,1e-05,0.0,28.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.022,0.0,0.0,200.8,0.0,0.0,0.021,0.0,0.0,28.97,0.37,-1.892,146,0.3528,0.035,9.7477,-0.0014,-7e-05,0.00426,0.0,0.0,8803,13114,15784,19180
8.52,1e-05,0.0,-0.0,1e-05,0.0,28.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.018,0.0,0.0,200.8,0.0,-0.0,0.018,0.0,0.0,28.97,0.329,-1.859,145,0.3062,0.044,9.7944,-0.00107,7e-05,-0.00233,0.0,0.0,8803,13114,15784,19180
8.77,1e-05,0.0,-0.0,1e-05,0.0,28.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.025,0.0,0.0,200.8,0.0,-0.0,0.021,0.0,0.0,28.97,0.294,-1.909,145,0.3986,0.0997,9.7576,-0.00326,-0.0016,0.001,0.0,0.0,8803,13114,15784,19180
9.02,1e-05,0.0,-0.0,1e-05,0.0,28.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.018,0.0,0.0,200.8,0.0,-0.0,0.016,0.0,0.0,28.97,0.283,-1.915,145,0.3564,0.0485,9.763,-0.00366,-0.00213,0.00093,0.0,0.0,8803,13114,15784,19180
9.27,1e-05,0.0,-0.0,1e-05,0.0,28.82,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.027,0.0,0.0,199.34,0.0,-0.0,0.024,0.0,0.0,28.82,0.278,-1.949,145,0.3331,0.0359,9.7441,-0.00193,-0.0034,0.002,0.0,0.0,8803,13114,15784,19180
9.52,0.00614,2e-05,-0.124,0.00614,0.00614,28.82,0.00547,-3e-05,-0.356,0.00547,0.00539,20.01,0.0,0.0,-0.006,0.0,0.0,199.34,0.00614,2e-05,-0.008,0.00614,0.00614,28.82,0.367,-0.279,144,0.044,0.2011,10.1589,-0.00446,0.02184,-0.00313,0.0899,0.0252,8863,13176,15832,19229
9.77,0.03495,-0.00064,-0.151,0.03496,0.0302,28.82,0.03803,-0.00028,-0.493,0.03803,0.03803,20.01,0.0,0.0,-0.127,0.0,0.0,199.34,0.04686,-0.00066,-0.12,0.04687,0.04691,28.82,0.392,-0.676,144,0.6635,-0.0566,10.0054,0.01265,0.01525,-0.00706,0.1541,-0.0252,9054,13367,16018,19416
10.02,0.07699,-0.00162,-0.174,0.07701,0.07706,28.82,0.07853,-0.00068,-0.594,0.07853,0.07642,20.01,0.0,0.0,-0.199,0.0,0.0,199.34,0.08854,-0.00121,-0.202,0.08855,0.08866,28.82,0.354,-1.266,144,0.422,-0.1356,10.0242,-0.01025,0.01438,-0.0002,0.1755,-0.0252,9305,13618,16266,19664
10.27,0.11691,-0.00181,-0.22,0.11692,0.11704,28.0,0.12238,-0.00123,-0.79,0.12238,0.12238,20.0,0.0,0.0,-0.241,0.0,0.0,197.98,0.14016,-0.00163,-0.239,0.14017,0.14035,28.0,0.348,-1.641,144,0.4426,-0.0233,9.8635,0.01731,0.02184,-0.00453,0.1819,-0.0126,9558,13868,16516,19916
10.52,0.16324,-0.00174,-0.266,0.16325,0.16339,28.0,0.16742,-0.00191,-0.88,0.16743,0.16743,20.0,0.0,0.0,-0.246,0.0,0.0,197.98,0.2028,-0.00127,-0.249,0.20281,0.20302,28.0,0.49,-1.734,123,0.3798,0.1248,9.5924,-0.01538,0.01079,-0.00686,0.1798,0.0,9836,14144,16790,20191
10.77,0.20515,-0.00269,-0.336,0.20517,0.20533,28.0,0.21579,-0.00263,-0.879,0.21581,0.21581,20.0,0.0,0.0,-0.298,0.0,0.0,197.98,0.2584,-0.00252,-0.309,0.25842,0.25865,28.0,0.411,-1.67,123,0.3097,0.2209,10.228,-0.02836,-0.0002,0.01904,0.1883,0.0,10098,14404,17046,20452
11.02,0.25393,-0.00386,-0.324,0.25396,0.25416,28.0,0.26131,-0.0032,-0.665,0.26133,0.2589,20.0,0.0,0.0,-0.284,0.0,0.0,197.98,0.31986,-0.00381,-0.291,0.31989,0.32018,28.0,0.333,-1.644,123,0.4175,0.1266,9.6471,-0.00819,0.00326,0.01571,0.1905,0.0126,10385,14693,17334,20742
11.271,0.29829,-0.00367,-0.378,0.29832,0.29853,29.97,0.3009,-0.00364,-0.635,0.30092,0.29947,18.98,0.0,0.0,-0.352,0.0,0.0,200.78,0.37288,-0.00337,-0.358,0.3729,0.37322,29.97,0.43,-1.941,123,0.5441,0.2846,9.5295,-0.02177,0.01704,0.00393,0.1947,-0.0126,10612,14920,17560,20968
11.521,0.34957,-0.00439,-0.408,0.34959,0.34982,29.97,0.35912,-0.00433,-0.617,0.35915,0.35915,18.98,0.0,0.0,-0.386,0.0,0.0,200.78,0.42932,-0.00407,-0.389,0.42934,0.42967,29.97,0.392,-1.953,153,0.3672,0.0943,10.2496,-0.01278,7e-05,0.00426,0.2033,0.0126,10958,15264,17904,21312
11.77,0.39415,-0.00487,-0.457,0.39418,0.39442,29.97,0.40858,-0.00484,-0.623,0.40861,0.40861,18.98,0.0,0.0,-0.444,0.0,0.0,200.78,0.48391,-0.00501,-0.449,0.48393,0.48429,29.97,0.531,-1.907,153,0.0943,0.334,9.5017,-0.00293,-0.0281,0.0004,0.1926,-0.0252,11238,15541,18178,21588
12.02,0.44395,-0.00531,-0.439,0.44399,0.44426,29.97,0.45624,-0.00546,-0.766,0.45628,0.45628,18.98,0.0,0.0,-0.447,0.0,0.0,200.78,0.55028,-0.00555,-0.45,0.55031,0.5507,29.97,0.469,-1.929,153,0.3735,0.0655,9.3652,-0.00899,0.01605,-0.01052,0.1926,0.0,11533,15835,18470,21883
12.27,0.48775,-0.00615,-0.457,0.48779,0.48807,29.97,0.50516,-0.00619,-0.892,0.5052,0.5052,18.98,0.0,0.0,-0.467,0.0,0.0,200.78,0.61169,-0.00689,-0.469,0.61173,0.61214,29.97,0.117,-1.885,153,0.3403,-0.1401,10.0215,0.01012,-0.00659,0.0012,0.199,-0.0126,11808,16110,18743,22159
