t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.228,0.0359,9.7504,-0.00193,-0.00333,-0.00073,0.0,0.0,0,0,0,0
1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2325,0.0979,9.7782,-0.0002,-0.00087,7e-05,0.0,0.0,0,0,0,0
1.521,-0.0,-0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,115.98,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2209,0.0422,9.7324,-0.00419,0.00193,0.0034,0.0,0.0,0,0,0,0
1.77,0.00019,0.00018,-0.007,0.00026,0.0,2.4,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,115.98,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1885,0.0817,9.7692,-0.00226,0.0,0.0024,0.0,0.0,0,0,0,0
2.02,0.00031,0.00011,-0.004,0.00033,0.0,2.4,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,115.98,0.0,0.0,0.0,0.0,0.0,0.0,,,140,0.1921,0.0844,9.7863,-0.00759,-0.00426,0.00386,0.0,0.0,0,0,0,0
2.27,0.00053,0.00027,-0.005,0.00059,0.0,2.4,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,115.98,0.0,0.0,0.0,0.0,0.0,0.0,,,140,0.1993,0.0341,9.7405,-0.00519,-0.00186,0.00446,0.0,0.0,0,0,0,0
2.52,0.00064,0.00029,-0.004,0.0007,0.0,2.4,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,115.98,0.0,0.0,0.0,0.0,0.0,0.0,,,140,0.1993,0.1032,9.7432,-0.00479,-0.0038,0.00439,0.0,0.0,0,0,0,0
