t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz
0.307,-3e-05,-0.00013,0.003,0.00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.558,1e-05,-5e-05,-0.001,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.807,-5e-05,2e-05,-0.008,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.057,-0.00016,-0.00027,0.009,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.307,-0.00018,-0.00027,0.011,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.557,-0.00025,-0.00018,0.007,0.00031,0.0,28.81,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,202.45
1.807,-0.00022,-0.00013,0.003,0.00026,0.0,28.81,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,202.45
2.057,-0.00029,-0.00024,0.01,0.00038,0.0,28.81,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,202.45
2.307,-0.00011,-0.00025,0.012,0.00027,0.0,28.81,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,202.45
2.557,-0.00017,-0.00018,0.01,0.00025,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.98
2.808,-0.0002,-0.00016,0.01,0.00025,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.98
3.057,-0.00024,-3e-05,0.008,0.00024,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.98
3.307,-0.00026,8e-05,0.005,0.00028,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.98
3.557,-0.00035,0.0001,0.004,0.00036,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.98
3.807,-0.00043,7e-05,0.007,0.00043,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,199.22
4.057,-0.00045,-3e-05,0.01,0.00046,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,199.22
4.307,-0.00052,-0.00021,0.017,0.00056,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,199.22
4.557,-0.00057,-0.00029,0.02,0.00064,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,199.22
4.807,-0.00076,-0.00033,0.021,0.00083,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,199.22
5.057,-0.00073,-0.00041,0.026,0.00084,0.0,24.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.005,0.0,0.0,200.81
5.307,-0.001,-0.00049,0.032,0.00111,0.0,24.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,200.81
5.557,-0.00122,-0.00054,0.034,0.00134,0.0,24.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.018,0.0,0.0,200.81
5.807,-0.00133,-0.00076,0.04,0.00153,0.0,24.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.01,0.0,0.0,200.81
6.059,-0.00141,-0.00087,0.048,0.00166,0.0,27.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.025,0.0,0.0,195.56
6.308,-0.00138,-0.00072,0.041,0.00156,0.0,27.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.028,0.0,0.0,195.56
6.557,-0.00163,-0.00083,0.042,0.00182,0.0,27.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,195.56
6.807,-0.00162,-0.00082,0.041,0.00181,0.0,27.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.032,0.0,0.0,195.56
7.058,-0.00167,-0.00075,0.041,0.00183,0.0,27.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,195.56
7.307,-0.00154,-0.00084,0.05,0.00175,0.0,29.65,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.039,0.0,0.0,199.53
7.557,-0.00159,-0.00088,0.052,0.00182,0.0,29.65,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.041,0.0,0.0,199.53
7.807,-0.00155,-0.00089,0.051,0.00179,0.0,29.65,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.045,0.0,0.0,199.53
8.057,-0.00157,-0.00092,0.053,0.00182,0.0,29.65,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.047,0.0,0.0,199.53
8.307,-0.00143,-0.00079,0.049,0.00164,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,199.97
