t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13294,17017,12126,15807
0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13294,17017,12126,15807
1.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.3035,0.018,9.6992,-0.00067,-0.00133,-0.0038,0.0,0.0,13294,17017,12126,15807
1.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2595,-0.0251,9.7665,-0.00366,-0.00033,0.00213,0.0,0.0,13294,17017,12126,15807
1.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,112.02,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2658,-0.0233,9.7297,-0.00047,-0.0016,-0.0024,0.0,0.0,13294,17017,12126,15807
1.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,112.02,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2918,-0.0009,9.6768,-0.00399,-0.00027,-0.00173,0.0,0.0,13294,17017,12126,15807
2.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,112.02,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2855,0.0171,9.7315,-0.00406,-0.00326,-0.00047,0.0,0.0,13294,17017,12126,15807
2.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,112.02,0.0,0.0,0.0,0.0,0.0,0.0,,,188,0.3457,0.0063,9.7782,-0.00759,-0.00107,0.003,0.0,0.0,13294,17017,12126,15807
2.519,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,198.86,0.0,0.0,0.0,0.0,0.0,0.0,,,188,0.3115,0.0431,9.7809,-0.00619,-0.00253,0.00027,0.0,0.0,13294,17017,12126,15807
2.769,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,198.86,0.0,0.0,0.0,0.0,0.0,0.0,,,188,0.2298,-0.0206,9.7019,0.0,0.00266,-0.00173,0.0,0.0,13294,17017,12126,15807
3.019,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,198.86,0.0,0.0,0.0,0.0,0.0,0.0,,,188,0.2765,-0.0215,9.7324,-0.00706,0.00146,0.00013,0.0,0.0,13294,17017,12126,15807
3.269,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,198.86,0.0,0.0,0.0,0.0,0.0,0.0,,,187,0.3089,-0.0206,9.7719,-0.0018,0.00067,0.0008,0.0,0.0,13294,17017,12126,15807
3.519,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,198.86,0.0,0.0,0.0,0.0,0.0,0.0,,,187,0.2828,-0.0368,9.6759,-0.00313,0.00153,-0.001,0.0,0.0,13294,17017,12126,15807
3.769,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,198.39,0.0,0.0,0.0,0.0,0.0,0.0,,,187,0.2676,0.0198,9.7154,-0.00166,-0.0014,0.00186,0.0,0.0,13294,17017,12126,15807
4.019,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,198.39,0.0,0.0,0.0,0.0,0.0,0.0,,,187,0.272,-0.0045,9.6714,-0.0012,0.00093,0.00786,0.0,0.0,13294,17017,12126,15807
4.269,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,198.39,0.0,0.0,0.0,0.0,0.0,0.0,,,186,0.3484,0.0,9.7208,-0.00286,-0.00033,0.00266,0.0,0.0,13294,17017,12126,15807
4.519,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,198.39,0.0,0.0,0.0,0.0,0.0,0.0,,,186,0.2433,0.0242,9.7656,-0.00186,0.0002,0.00213,0.0,0.0,13294,17017,12126,15807
4.769,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,198.39,0.0,0.0,0.0,0.0,0.0,0.0,,,186,0.2792,-0.0054,9.7333,-0.00639,0.0002,0.00499,0.0,0.0,13294,17017,12126,15807
5.019,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,201.73,0.0,0.0,-0.0,0.0,0.0,0.8,0.031,-1.482,186,0.2523,-0.0233,9.7136,-0.00652,0.00293,0.00393,0.0,0.0,13294,17017,12126,15807
5.269,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.017,0.0,0.0,201.73,0.0,0.0,-0.015,0.0,0.0,0.8,-0.029,-1.618,182,0.3062,-0.0539,9.7172,-0.00493,-0.00133,0.00213,0.0,0.0,13294,17017,12126,15807
5.519,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.014,0.0,0.0,201.73,0.0,0.0,-0.013,0.0,0.0,0.8,-0.056,-1.645,182,0.2523,0.0548,9.7504,-0.00846,0.00073,-0.00153,0.0,0.0,13294,17017,12126,15807
5.769,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.013,0.0,0.0,201.73,0.0,0.0,-0.016,0.0,0.0,0.8,-0.085,-1.668,182,0.3035,-0.0485,9.7854,-0.00253,0.00186,-0.0006,0.0,0.0,13294,17017,12126,15807
6.019,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.014,0.0,0.0,201.73,0.0,0.0,-0.014,0.0,0.0,0.8,-0.052,-1.678,182,0.272,0.0054,9.6768,-0.00253,-0.0002,0.0032,0.0,0.0,13294,17017,12126,15807
6.269,0.0,0.0,0.0,0.0,0.0,29.58,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.019,0.0,0.0,199.88,0.0,0.0,-0.018,0.0,0.0,29.58,-0.0,-1.719,180,0.2514,-0.0072,9.7091,-0.00493,-7e-05,0.00546,0.0,0.0,13294,17017,12126,15807
6.519,0.0,0.0,0.0,0.0,0.0,29.58,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.026,0.0,0.0,199.88,0.0,0.0,-0.023,0.0,0.0,29.58,-0.041,-1.702,180,0.3187,-0.0036,9.7495,-0.00346,0.00093,0.0024,0.0,0.0,13294,17017,12126,15807
6.769,0.0,0.0,0.0,0.0,0.0,29.58,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.044,0.0,0.0,199.88,0.0,0.0,-0.044,0.0,0.0,29.58,-0.061,-1.654,180,0.246,0.0018,9.6768,-0.00646,-0.00173,-0.00013,0.0,0.0,13294,17017,12126,15807
7.019,0.0,0.0,0.0,0.0,0.0,29.58,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.05,0.0,0.0,199.88,0.0,0.0,-0.051,0.0,0.0,29.58,-0.117,-1.668,180,0.2801,-0.0278,9.7567,-0.00326,0.00186,0.001,0.0,0.0,13294,17017,12126,15807
7.269,0.0,0.0,0.0,0.0,0.0,29.58,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.048,0.0,0.0,199.88,0.0,0.0,-0.048,0.0,0.0,29.58,-0.079,-1.72,177,0.334,0.0045,9.7387,-0.0014,-0.00153,0.00413,0.0,0.0,13294,17017,12126,15807
7.519,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.063,0.0,0.0,200.92,0.0,0.0,-0.061,0.0,0.0,30.42,-0.011,-1.672,177,0.2532,0.0548,9.7091,-0.00586,-0.00053,0.00213,0.0,0.0,13294,17017,12126,15807
7.769,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.055,0.0,0.0,200.92,0.0,0.0,-0.048,0.0,0.0,30.42,-0.017,-1.707,177,0.2882,-0.0162,9.7495,-0.0028,0.0024,-0.0006,0.0,0.0,13294,17017,12126,15807
8.019,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.054,0.0,0.0,200.92,0.0,0.0,-0.052,0.0,0.0,30.42,-0.02,-1.695,177,0.3358,-0.0126,9.6687,-0.00213,-0.00206,0.00313,0.0,0.0,13294,17017,12126,15807
8.269,0.0,0.0,0.0,0.0,0.0,30.42,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.068,0.0,0.0,200.92,0.0,0.0,-0.064,0.0,0.0,30.42,-0.052,-1.64,174,0.2846,0.0287,9.7486,-0.0034,-0.00426,0.00526,0.0,0.0,13294,17017,12126,15807
8.519,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.067,0.0,0.0,200.99,0.0,0.0,-0.064,0.0,0.0,30.0,-0.063,-1.663,174,0.3223,-0.0404,9.7755,-0.00826,-0.00273,0.00672,0.0,0.0,13294,17017,12126,15807
8.769,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.083,0.0,0.0,200.99,0.0,0.0,-0.082,0.0,0.0,30.0,-0.055,-1.635,174,0.2801,0.0135,9.7333,-0.0016,-0.0018,0.00599,0.0,0.0,13294,17017,12126,15807
9.019,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.082,0.0,0.0,200.99,0.0,0.0,-0.078,0.0,0.0,30.0,-0.061,-1.596,174,0.2631,0.0548,9.7594,-0.00353,0.00459,0.00333,0.0,0.0,13294,17017,12126,15807
9.269,-0.00045,0.00068,-0.002,0.00082,0.0,30.0,-0.00026,-0.0,0.089,0.00026,0.0,20.0,0.0,0.0,-0.023,0.0,0.0,200.99,-0.00045,0.00068,-0.036,0.00082,0.0,30.0,-0.084,-1.578,171,0.1544,0.0566,9.7621,-0.00366,0.00679,0.00652,-0.0021,0.0126,13292,17014,12126,15807
9.519,-0.00134,0.00092,0.132,0.00163,0.0,30.0,-0.00108,-0.0,0.217,0.00108,0.0,20.0,0.0,0.0,0.095,0.0,0.0,200.99,-0.00134,0.00092,0.106,0.00163,0.0,30.0,-0.035,-1.531,171,0.3331,0.0943,9.7522,-0.00712,0.0012,-0.00732,-0.0086,0.0,13285,17008,12124,15804
9.769,-0.00317,0.00109,0.246,0.00336,0.0,29.6,-0.00336,-2e-05,0.391,0.00336,0.0,20.0,0.0,0.0,0.232,0.0,0.0,199.98,-0.00317,0.00109,0.234,0.00336,0.0,29.6,-0.112,-1.463,171,0.1194,0.0736,9.719,-0.00786,0.01551,-0.00127,-0.0128,0.0252,13266,16991,12110,15791
10.019,-0.00866,0.00132,0.738,0.00876,0.00535,29.6,-0.0078,-6e-05,0.879,0.0078,0.00502,20.0,0.0,0.0,0.806,0.0,0.0,199.98,-0.00866,0.00131,0.796,0.00876,0.00535,29.6,-0.222,-1.413,171,0.2155,0.0898,9.7423,-0.00832,0.003,0.05333,-0.015,0.0378,13233,16960,12095,15779
