t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.316,2e-05,-3e-05,0.004,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2397,0.105,9.7567,-0.00506,-0.00233,0.00413,0.0,0.0,-43052,-8962,106338,94966
0.566,-0.00015,1e-05,0.003,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2191,0.0988,9.7468,-0.00506,-0.001,0.0024,0.0,0.0,-43052,-8962,106338,94966
0.817,4e-05,0.00047,-0.03,0.00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,42,0.2146,0.1329,9.7827,-0.00613,-0.00067,0.00266,0.0,0.0,-43052,-8962,106338,94966
1.066,0.00024,0.00065,-0.041,0.00069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,42,0.1787,0.1706,9.7953,0.0018,0.00013,0.00326,0.0,0.0,-43052,-8962,106338,94966
1.316,0.0005,0.0001,-0.019,0.00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,42,0.2424,0.0988,9.6732,-0.0038,0.00246,0.00226,0.0,0.0,-43052,-8962,106338,94966
1.566,0.00063,0.00036,-0.037,0.00072,0.0,24.81,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,199.24,0.0,0.0,0.0,0.0,0.0,0.0,,,42,0.2451,0.0826,9.7549,-0.00326,-0.0006,0.0022,0.0,0.0,-43052,-8962,106338,94966
1.817,0.00058,-0.00015,0.0,0.0006,0.0,24.81,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,199.24,0.0,0.0,0.0,0.0,0.0,0.0,,,40,0.2191,0.0934,9.6633,-0.00539,-0.0018,0.01052,0.0,0.0,-43052,-8962,106338,94966
2.066,0.0006,-0.00019,0.001,0.00063,0.0,24.81,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,199.24,0.0,0.0,0.0,0.0,0.0,0.0,,,40,0.2334,0.0808,9.7594,-0.00646,-0.00306,0.0002,0.0,0.0,-43052,-8962,106338,94966
2.316,0.00069,-0.00022,0.004,0.00073,0.0,24.81,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,199.24,0.0,0.0,0.0,0.0,0.0,0.0,,,40,0.2442,0.0655,9.7315,-0.00266,0.00752,-0.00193,0.0,0.0,-43052,-8962,106338,94966
2.566,0.00068,-0.0002,0.004,0.00071,0.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,40,0.1805,0.0952,9.7172,-0.00113,0.0012,-0.0024,0.0,0.0,-43052,-8962,106338,94966
2.816,0.00062,-0.00026,0.011,0.00067,0.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,39,0.193,0.0934,9.7522,-0.00679,-0.0026,0.0006,0.0,0.0,-43052,-8962,106338,94966
3.066,0.00062,-0.00026,0.011,0.00067,0.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,39,0.228,0.0458,9.736,-0.00067,-0.00087,0.00153,0.0,0.0,-43052,-8962,106338,94966
3.317,0.00062,-0.00026,0.011,0.00067,0.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,39,0.2263,0.0476,9.7109,-0.00266,-0.00233,0.00067,0.0,0.0,-43052,-8962,106338,94966
3.566,0.00101,0.00024,-0.03,0.00104,0.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.99,0.0,0.0,0.0,0.0,0.0,0.0,,,39,0.2146,0.1015,9.7028,-0.00306,-0.00173,0.00486,0.0,0.0,-43052,-8962,106338,94966
3.816,0.0011,0.00016,-0.033,0.00111,0.0,28.79,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,38,0.1544,0.1203,9.7324,-0.00093,-0.0014,0.002,0.0,0.0,-43052,-8962,106338,94966
4.066,0.0011,0.00016,-0.033,0.00111,0.0,28.79,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,38,0.2882,0.1257,9.7279,-0.00373,-0.00326,-0.0022,0.0,0.0,-43052,-8962,106338,94966
4.316,0.0011,0.00016,-0.033,0.00111,0.0,28.79,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,38,0.2011,0.0979,9.7351,-0.00646,-0.00153,0.00193,0.0,0.0,-43052,-8962,106338,94966
4.566,0.0011,0.00016,-0.033,0.00111,0.0,28.79,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,38,0.2164,0.1095,9.7621,-0.00613,0.00047,-0.00107,0.0,0.0,-43052,-8962,106338,94966
4.816,0.0011,0.0001,-0.028,0.00111,0.0,28.79,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,199.93,0.0,0.0,0.0,0.0,0.0,0.0,,,37,0.2469,0.1113,9.7217,-0.00593,0.00386,0.00087,0.0,0.0,-43052,-8962,106338,94966
5.066,0.00147,0.00015,-0.044,0.00148,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.004,0.0,0.0,198.44,-0.0,0.0,-0.004,0.0,0.0,1.6,0.604,-1.423,37,0.2702,0.1365,9.7468,-0.00346,0.002,0.002,0.0,0.0,-43052,-8962,106338,94966
5.317,0.00147,0.00015,-0.044,0.00148,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.002,0.0,0.0,198.44,-0.0,0.0,-0.003,0.0,0.0,1.6,0.656,-1.347,37,0.2613,0.1006,9.7351,-0.00646,-0.00093,0.00286,0.0,0.0,-43052,-8962,106338,94966
5.566,0.00152,-0.00029,-0.019,0.00155,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.004,0.0,0.0,198.44,5e-05,-0.00044,0.003,0.00044,0.0,1.6,0.696,-1.336,37,0.1661,0.114,9.7172,-0.00479,-0.00013,0.00047,0.0,0.0,-43052,-8962,106338,94966
5.817,0.00152,-0.00029,-0.019,0.00155,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.013,0.0,0.0,198.44,5e-05,-0.00044,0.006,0.00044,0.0,1.6,0.643,-1.327,37,0.1814,0.1715,9.7468,-0.00273,-0.00113,-0.00479,0.0,0.0,-43052,-8962,106338,94966
6.066,0.00177,0.00014,-0.061,0.00177,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.014,0.0,0.0,198.44,0.0003,-0.0,0.014,0.0003,0.0,1.6,0.66,-1.309,37,0.2702,0.1185,9.6929,-0.00519,-0.00087,0.00306,0.0,0.0,-43052,-8962,106338,94966
6.316,0.002,-0.00018,-0.053,0.002,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.028,0.0,0.0,200.79,0.00053,-0.00032,0.024,0.00062,0.0,28.0,0.661,-1.334,37,0.237,0.088,9.7208,-0.00313,0.00073,0.00326,0.0,0.0,-43052,-8962,106338,94966
6.566,0.00225,-0.00014,-0.055,0.00226,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.027,0.0,0.0,200.79,0.00078,-0.00029,0.027,0.00084,0.0,28.0,0.652,-1.347,37,0.2298,0.1338,9.727,-0.00466,-0.00113,0.00193,0.0,0.0,-43052,-8962,106338,94966
6.816,0.00224,-0.00013,-0.055,0.00225,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.035,0.0,0.0,200.79,0.00077,-0.00028,0.037,0.00082,0.0,28.0,0.644,-1.302,37,0.202,0.1185,9.7818,-0.00233,-0.00213,-0.00193,0.0,0.0,-43052,-8962,106338,94966
7.066,0.00224,-0.00013,-0.055,0.00225,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.035,0.0,0.0,200.79,0.00077,-0.00028,0.035,0.00082,0.0,28.0,0.629,-1.344,37,0.2182,0.1374,9.7306,-0.00373,-0.00067,-0.00173,0.0,0.0,-43052,-8962,106338,94966
7.316,0.00223,-0.00011,-0.055,0.00223,0.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.034,0.0,0.0,200.79,0.00076,-0.00026,0.032,0.0008,0.0,28.0,0.645,-1.368,37,0.2146,0.0853,9.7235,-0.00213,0.00286,0.00047,0.0,0.0,-43052,-8962,106338,94966
7.567,0.00222,-0.00053,-0.021,0.00228,0.0,30.39,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.038,0.0,0.0,199.96,0.00075,-0.00067,0.036,0.00101,0.0,30.39,0.613,-1.305,37,0.2361,0.1275,9.7917,-0.00206,0.0016,0.00633,0.0,0.0,-43052,-8962,106338,94966
