t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.271,-0.00023,-7e-05,0.005,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,163,0.2173,0.0736,9.763,-0.00479,-0.00173,-0.00153,0.0,0.0,6097,6029,5973,5969
0.521,-0.00017,-0.00018,0.012,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,163,0.1472,0.1095,9.7172,-0.0014,-0.00133,0.001,0.0,0.0,6097,6029,5973,5969
0.771,-0.00044,-0.00043,0.023,0.00061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,163,0.2469,0.018,9.6857,-0.00346,-0.00146,-0.00073,0.0,0.0,6097,6029,5973,5969
1.021,-0.00054,-0.00039,0.023,0.00066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,163,0.2119,0.0584,9.763,-0.00399,0.0002,0.0004,0.0,0.0,6097,6029,5973,5969
1.271,-0.00062,-0.00034,0.017,0.00071,0.0,29.98,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.0,0.0,0.0,199.85,0.0,0.0,0.0,0.0,0.0,0.0,,,158,0.1643,0.1472,9.7342,-0.00293,-0.00166,0.00579,0.0,0.0,6097,6029,5973,5969
1.522,-0.00071,-0.0004,0.021,0.00082,0.0,29.98,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.0,0.0,0.0,199.85,0.0,0.0,0.0,0.0,0.0,0.0,,,158,0.1751,0.0404,9.6364,-0.003,0.00153,0.0012,0.0,0.0,6097,6029,5973,5969
1.771,-0.00068,-0.00025,0.015,0.00073,0.0,29.98,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.0,0.0,0.0,199.85,0.0,0.0,0.0,0.0,0.0,0.0,,,158,0.202,0.1104,9.7459,-0.002,-0.001,7e-05,0.0,0.0,6097,6029,5973,5969
2.021,-0.00069,-0.00022,0.012,0.00072,0.0,29.98,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.0,0.0,0.0,199.85,0.0,0.0,0.0,0.0,0.0,0.0,,,158,0.2164,0.0988,9.7612,-0.00726,0.00113,-7e-05,0.0,0.0,6097,6029,5973,5969
2.271,-0.00076,-0.00045,0.021,0.00089,0.0,29.98,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,0.0,0.0,0.0,199.85,0.0,0.0,0.0,0.0,0.0,0.0,,,154,0.1383,0.1176,9.8016,-0.003,0.00313,0.00646,0.0,0.0,6097,6029,5973,5969
2.521,-0.00068,-0.0003,0.012,0.00074,0.0,26.41,0.0,0.0,0.0,0.0,0.0,20.81,0.0,0.0,0.0,0.0,0.0,200.88,0.0,0.0,0.0,0.0,0.0,0.0,,,154,0.1742,0.0952,9.7818,-0.00366,0.00027,0.00792,0.0,0.0,6097,6029,5973,5969
2.771,-0.00062,-0.00036,0.013,0.00072,0.0,26.41,0.0,0.0,0.0,0.0,0.0,20.81,0.0,0.0,0.0,0.0,0.0,200.88,0.0,0.0,0.0,0.0,0.0,0.0,,,154,0.1957,0.0673,9.78,-0.00399,0.0014,0.0018,0.0,0.0,6097,6029,5973,5969
3.021,-0.00063,-0.00036,0.014,0.00073,0.0,26.41,0.0,0.0,0.0,0.0,0.0,20.81,0.0,0.0,0.0,0.0,0.0,200.88,0.0,0.0,0.0,0.0,0.0,0.0,,,154,0.2155,0.0772,9.763,-0.00426,-0.0008,0.00033,0.0,0.0,6097,6029,5973,5969
