t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.27,-5e-05,0.0,-0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.1625,0.1383,9.7459,-0.00446,-0.002,0.00399,0.0,0.0,6305,6192,5947,5947
0.52,0.00012,0.00037,-0.016,0.00039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2119,0.0655,9.7333,-0.0028,-0.0032,0.00686,0.0,0.0,6305,6192,5947,5947
0.77,0.00015,0.0005,-0.029,0.00052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,110,0.2271,0.1015,9.7324,-0.00326,-0.00013,0.00313,0.0,0.0,6305,6192,5947,5947
1.02,0.00018,0.0006,-0.036,0.00063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,110,0.211,0.0799,9.7315,-0.00393,-0.0016,0.00499,0.0,0.0,6305,6192,5947,5947
1.27,0.0002,0.00059,-0.035,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,110,0.1805,0.1024,9.7396,-0.00173,0.00226,-0.0036,0.0,0.0,6305,6192,5947,5947
1.52,0.00017,0.00059,-0.031,0.00061,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,201.58,0.0,0.0,0.0,0.0,0.0,0.0,,,110,0.246,0.1095,9.7648,-0.0032,-0.003,0.00579,0.0,0.0,6305,6192,5947,5947
1.77,1e-05,0.00031,-0.018,0.00031,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,201.58,0.0,0.0,0.0,0.0,0.0,0.0,,,108,0.1885,0.0395,9.7504,-0.002,0.00053,0.00566,0.0,0.0,6305,6192,5947,5947
2.02,7e-05,0.00049,-0.026,0.00049,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,201.58,0.0,0.0,0.0,0.0,0.0,0.0,,,108,0.1508,0.1203,9.7441,-0.00406,0.00013,0.00466,0.0,0.0,6305,6192,5947,5947
2.27,0.00029,0.00077,-0.037,0.00082,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,201.58,0.0,0.0,0.0,0.0,0.0,0.0,,,108,0.2227,0.1239,9.771,-0.00439,-0.0026,-0.00206,0.0,0.0,6305,6192,5947,5947
2.52,0.00024,0.0006,-0.031,0.00065,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,201.58,0.0,0.0,0.0,0.0,0.0,0.0,,,108,0.2083,0.1472,9.7019,-0.00393,0.003,0.00013,0.0,0.0,6305,6192,5947,5947
2.77,0.0001,0.00059,-0.029,0.00059,0.0,28.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,197.6,0.0,0.0,0.0,0.0,0.0,0.0,,,105,0.2074,0.0844,9.7477,-0.0022,7e-05,0.00253,0.0,0.0,6305,6192,5947,5947
3.02,5e-05,0.00047,-0.02,0.00047,0.0,28.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,197.6,0.0,0.0,0.0,0.0,0.0,0.0,,,105,0.2424,0.0575,9.6839,-0.0036,-0.00093,0.00546,0.0,0.0,6305,6192,5947,5947
3.27,5e-05,0.00033,-0.012,0.00034,0.0,28.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,197.6,0.0,0.0,0.0,0.0,0.0,0.0,,,105,0.167,0.0853,9.7603,-0.00293,-0.00107,0.00213,0.0,0.0,6305,6192,5947,5947
3.521,4e-05,0.00037,-0.008,0.00037,0.0,28.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,197.6,0.0,0.0,0.0,0.0,0.0,0.0,,,105,0.2146,0.0655,9.7558,0.00087,-0.00113,-0.00306,0.0,0.0,6305,6192,5947,5947
3.77,0.00019,0.0007,-0.022,0.00072,0.0,28.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,197.6,0.0,0.0,0.0,0.0,0.0,0.0,,,102,0.1742,0.1338,9.7288,-0.0028,-0.00047,0.00373,0.0,0.0,6305,6192,5947,5947
4.02,0.00022,0.00078,-0.018,0.00081,0.0,30.4,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,202.41,0.0,0.0,0.0,0.0,0.0,0.0,,,102,0.1697,0.1203,9.7827,-0.00419,-0.00013,0.00466,0.0,0.0,6305,6192,5947,5947
4.27,0.00027,0.00081,-0.018,0.00086,0.0,30.4,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,202.41,0.0,0.0,0.0,0.0,0.0,0.0,,,102,0.1993,0.0889,9.7621,-0.00419,-0.00173,0.00253,0.0,0.0,6305,6192,5947,5947
4.521,0.00035,0.00117,-0.034,0.00122,0.0,30.4,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,202.41,0.0,0.0,0.0,0.0,0.0,0.0,,,102,0.1876,0.0503,9.7037,-0.00393,-0.00419,0.00266,0.0,0.0,6305,6192,5947,5947
4.77,0.00019,0.00114,-0.033,0.00116,0.0,30.4,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,202.41,0.0,0.0,0.0,0.0,0.0,0.0,,,101,0.2101,0.0817,9.7073,-0.00386,-0.00113,0.00386,0.0,0.0,6305,6192,5947,5947
